Item,Cost (USD),Source
TB6612FNG Motor Driver,8.99,Amazon
Arduino Nano (ATmega328P),12.99,Amazon
OLED Display Module,17.99,Amazon
TCRT5000 5-Sensor Array Board,4.87,Amazon
TCRT5000 Infrared Sensor Module (x5),7.89,Amazon
TT Metal Gear Motor (x4),9.99,Amazon
55x40 mm Robot Wheels Pair (x2),90.00,Amazon
LM2956 Buck Converter (x2),7.99,Amazon
6x6x4.5 mm Momentary Push Buttons (x100),4.99,Amazon
Amazon Shipping & Handling,57.82,Amazon
Amazon Import Charges,106.74,Amazon
11.1V 2200mAh 3S LiPo,30.24,Pakistan (Local Supplier)
Battery Delivery (500 PKR @ 280 PKR/USD),1.79,Pakistan
Total,362.29,---
