Item,Cost,Source
TB6612FNG Motor Driver (5x),5.74,https://www.aliexpress.com/item/1005010405309752.html?spm=a2g0o.productlist.main.2.776baBvdaBvdFN&algo_pvid=162d74f8-2931-405e-85ae-2799c39f5e30&algo_exp_id=162d74f8-2931-405e-85ae-2799c39f5e30-1&pdp_ext_f=%7B%22order%22%3A%22130%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.73%215.74%21%21%2187.40%2139.40%21%40213ba0c517736343050414035e2c31%2112000052300805686%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=q2ncV5OVV5I6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010405309752%7C_p_origin_prod%3A
Arduino Nano (5x),14.06,https://www.aliexpress.com/item/1005006725908213.html?spm=a2g0o.productlist.main.30.270f71b3NP3JeV&algo_pvid=22c06427-6f3d-4847-b365-ed936b8b6777&algo_exp_id=22c06427-6f3d-4847-b365-ed936b8b6777-29&pdp_ext_f=%7B%22order%22%3A%22611%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.90%213.40%21%21%2126.69%2123.27%21%402140c1e917737206936687496e11bf%2112000038103051557%21sea%21PK%216163576800%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=L5ovpbqzF0W0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006725908213%7C_p_origin_prod%3A
"Oled Screen 1.3"" (4x)",7.24,https://www.aliexpress.com/item/1005008365029314.html?spm=a2g0o.productlist.main.60.65e9OBFmOBFmkv&algo_pvid=f5eb239e-86bd-4e16-8cf5-5eb3352397f6&algo_exp_id=f5eb239e-86bd-4e16-8cf5-5eb3352397f6-59&pdp_ext_f=%7B%22order%22%3A%221543%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.18%211.81%21%21%212.18%211.81%21%402101529317737210268503360e6027%2112000056534955889%21sea%21PK%216163576800%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=wgQPrdNYfJyg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008365029314%7C_p_origin_prod%3A
Lipo 3s (1x),30.21,https://www.hobbylobby.com.pk/product/gen-ace-lipo-2200mah-3s-35c
TCRT5000 5 Channel Array (5x),8.58,https://www.aliexpress.com/item/1005008733257121.html?spm=a2g0o.productlist.main.2.2f28vNuRvNuR85&algo_pvid=e8d0149e-406e-471b-8a5a-0c8ba6d914aa&algo_exp_id=e8d0149e-406e-471b-8a5a-0c8ba6d914aa-1&pdp_ext_f=%7B%22order%22%3A%2268%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.81%212.81%21%21%212.81%212.81%21%40212a70c117736346724275857e6eb5%2112000051619564155%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=XYRuw7RoT89R&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008733257121%7C_p_origin_prod%3A
TCRT5000 Individual  (10x),4.66,https://www.aliexpress.com/item/32866136486.html?spm=a2g0o.productlist.main.4.2f28vNuRvNuR85&algo_pvid=e8d0149e-406e-471b-8a5a-0c8ba6d914aa&algo_exp_id=e8d0149e-406e-471b-8a5a-0c8ba6d914aa-3&pdp_ext_f=%7B%22order%22%3A%2244%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.82%211.82%21%21%211.82%211.82%21%40212a70c117736346724275857e6eb5%2112000034628995694%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&curPageLogUid=QIs360bCwifL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32866136486%7C_p_origin_prod%3A
TT Motors (4x),9.72,https://www.aliexpress.com/item/1005006964177842.html?spm=a2g0o.productlist.main.2.56a5MI5LMI5LiO&algo_pvid=1b5507a6-a378-4d35-8438-7fedaa6c453a&algo_exp_id=1b5507a6-a378-4d35-8438-7fedaa6c453a-1&pdp_ext_f=%7B%22order%22%3A%22586%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.86%219.36%21%21%219.86%219.36%21%40213ba0c517736348027612805e2c0f%2112000038877170737%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=7eC8UMwUJMGT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006964177842%7C_p_origin_prod%3A
Rubber Wheels Pair (4x),29.48,https://www.aliexpress.com/item/1005009333838697.html?spm=a2g0o.productlist.main.13.3376uTiquTiqs0&algo_pvid=af146179-7417-438f-b4f9-4aa1cfb03062&algo_exp_id=af146179-7417-438f-b4f9-4aa1cfb03062-12&pdp_ext_f=%7B%22order%22%3A%2241%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2162.47%2129.48%21%21%21428.76%21202.37%21%402101584917736366870427160ee75b%2112000048786976480%21sea%21PK%210%21X%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197242157&curPageLogUid=SRXW20NJBT6p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009333838697%7C_p_origin_prod%3A
6mm Hex Coupler (4x),7.36,"https://www.aliexpress.com/item/1005009683741921.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.3c1576ry76ryOu&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=1a95f0df-8a5d-4b98-8070-f0c60f783810&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:1a95f0df-8a5d-4b98-8070-f0c60f783810,tpp_buckets:668%232846%238112%231997&isseo=y&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.73%211.73%21%21%2111.89%2111.89%21%402101584917736370947596856ee74f%2112000049852124496%21rec%21PK%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A63e5160c%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009683741921%7C_p_origin_prod%3A"
Buck Convertor LM2956 (5x),6.52,https://www.aliexpress.com/item/1005010400036740.html?spm=a2g0o.cart.0.0.68b238davmFU35&mp=1&pdp_npi=6%40dis%21USD%21USD%2015.35%21USD%206.52%21%21USD%206.52%21%21%21%402140c1c317737220374135688e39ce%2112000052283934356%21ct%21PK%216163576800%21%211%210%21
